,Strategy Return,Index,Ahrom,Firoza,Kahroba
2024-01-05,,0.9898156089538468,0.953117674636662,1.004728425013616,1.0180349721634125
2024-01-12,1.067897679432749,0.9970394190714154,1.0126582278481013,1.009531118482943,1.092174390339528
2024-01-19,1.0762050681993263,1.003934444148221,1.0112517580872011,1.0143090558003665,1.1285579863561517
2024-01-26,1.105676405019363,0.9752370533714244,1.0,1.019260286181116,1.2240257194385635
2024-02-02,1.105228768480529,0.9677883890061154,0.9934364744491326,1.0242857850175768,1.1688230220340312
2024-02-09,1.1152102849124308,0.963541922848264,1.0032817627754336,1.0293360400059413,1.1689406414177057
2024-02-16,1.1164006675088993,0.9545926686768527,0.9563994374120955,1.034386294994306,1.1801144828667764
2024-02-23,1.1404792844675278,0.9510453816586261,0.9418659165494608,1.039486062286478,1.2114796518466242
2024-03-01,1.107382398706986,0.9437022555002834,0.9170182841068917,1.0446105857305539,1.19171959538932
2024-03-08,1.1778808063958923,0.9946460256345785,1.0318799812470698,1.0497351091746299,1.2435897435897434
2024-03-15,1.1493143650957371,0.9874276347983074,0.9873417721518987,1.0550576818339357,1.2252019132753076
2024-03-22,1.196740341919622,1.0081205633939947,1.0393811533052038,1.0620389166707926,1.3365090566925428
2024-03-29,1.2254072850334365,1.0385667746159948,1.085325832161275,1.0688468584443234,1.3543087900886064
2024-04-05,1.247239127833277,1.0337543150453257,1.0721987810595406,1.0740456503441105,1.525131341645103
2024-04-12,1.2494445635425606,1.0388023755741052,1.056727613689639,1.0778828538891914,1.5225829216654903
2024-04-19,1.2923008103138236,1.0141471716059052,1.0201593999062353,1.0841461603208395,1.5670038422331998
2024-04-26,1.1916189595408286,1.0582873096276515,1.115799343647445,1.0907312967272367,1.414569120991139
2024-05-03,1.1829024993851232,1.0401884715812657,1.0918893577121425,1.0951378917661039,1.4220183486238531
2024-05-10,1.1454627715430403,1.019142968218441,1.043131739334271,1.1014754666534634,1.3996706657257114
2024-05-17,1.1324832773756428,0.9941590251355908,1.0225035161744023,1.106327672426598,1.3683054967458634
2024-05-24,1.14147615118923,0.970944201839754,0.9676511954992968,1.1105857305540427,1.3765388536030734
2024-05-31,1.1818005913877787,0.9580555434999508,0.9535864978902954,1.1178887953656484,1.3677173998274912
2024-06-07,1.1408738258286566,0.9562363183239907,0.9306141584622597,1.123236124176858,1.3624245275621418
